Ornek1;Ornek2;Ornek3;Ornek4;Ornek5;Ornek6;Ornek7;Ornek8;Ornek9;Ornek10;Ornek11;Ornek12;Ornek13;Ornek14;Ornek15;Ornek16;Ornek17;Ornek18;Ornek19;Ornek20;Ornek21;Ornek22;Ornek23;Ornek24;Ornek25;Ornek26;Ornek27;Ornek28;Ornek29;Ornek30;Ornek31;Ornek32;Ornek33;Ornek34;Ornek35;Ornek36;Ornek37;Ornek38;Ornek39;Ornek40;Ornek41;Ornek42;Ornek43;Ornek44;Ornek45;Ornek46;Ornek47;Ornek48;Ornek49;Ornek50;Ornek51;Ornek52;Ornek53;Ornek54;Ornek55;Ornek56;Ornek57;Ornek58;Ornek59;Ornek60;Ornek61;Ornek62;Ornek63;Ornek64;Ornek65;Ornek66;Ornek67;Ornek68;Ornek69;Ornek70
72;73;63;60;59;66;54;52;65;65;66;65;65;67;73;70;84;76;72;76;79;78;65;81;52;75;65;92;60;75;51;52;52;51;50;50;54;53;53;53;54;41;43;41;47;47;70;47;53;54;41;43;53;85;51;50;53;76;68;82;60;63;65;65;62;57;63;72;67;79
72;73;63;60;59;67;53;52;63;65;66;66;65;66;73;71;81;76;73;76;80;79;64;82;52;76;65;92;60;76;51;52;52;50;50;50;54;53;53;53;54;40;43;41;47;47;71;47;53;54;40;43;53;85;50;50;52;76;67;82;61;63;65;65;62;57;63;72;66;81
72;73;63;60;59;67;53;52;67;66;66;65;65;67;72;71;81;76;74;76;82;81;64;83;52;75;65;92;56;76;51;52;52;51;50;50;54;52;52;53;53;40;42;41;47;47;73;47;53;53;40;42;53;85;50;50;52;75;67;81;60;62;65;64;62;58;65;71;67;83
72;73;63;60;59;66;53;52;68;66;65;65;65;68;72;71;81;76;74;76;82;81;64;83;52;75;65;93;55;78;51;51;51;50;50;50;54;52;52;53;53;41;43;41;47;47;74;47;53;53;41;43;53;84;50;50;52;75;67;81;60;62;65;64;62;58;65;71;66;84
72;72;63;60;60;66;53;51;66;65;66;65;65;67;76;70;81;76;75;76;84;83;64;85;52;76;65;93;55;77;51;51;51;50;50;50;54;52;52;53;53;40;42;41;47;48;76;47;53;53;40;42;53;83;50;50;52;74;66;80;60;62;65;64;62;59;65;71;66;85
72;73;63;60;59;66;53;51;66;66;66;66;66;68;74;71;81;76;75;76;84;83;64;85;51;76;65;93;54;76;50;51;51;50;50;50;54;52;52;53;53;40;43;41;47;47;77;47;53;53;40;43;53;82;50;50;52;74;67;80;60;62;64;64;62;59;67;71;66;86
72;72;63;60;59;67;53;51;65;66;66;65;65;68;75;71;81;76;76;75;85;84;64;85;51;76;66;93;53;76;50;51;51;50;50;49;54;52;52;53;53;40;43;41;46;47;78;47;53;53;40;43;53;82;50;50;52;74;66;79;60;62;64;64;62;59;67;70;66;87
72;72;63;60;59;66;53;51;66;65;66;66;65;67;72;70;81;76;76;75;86;85;64;86;51;76;65;92;53;75;50;51;51;50;49;49;54;52;52;52;52;40;43;41;47;47;79;47;52;52;40;43;52;82;50;50;52;74;66;79;60;61;64;64;61;60;69;70;65;89
72;73;63;60;59;66;52;51;65;66;65;65;65;68;74;71;81;75;77;75;87;86;63;86;52;75;65;92;52;75;50;51;51;50;49;49;53;52;52;52;52;40;42;41;47;47;80;47;52;52;40;42;52;81;49;50;52;74;66;78;60;61;64;64;61;60;72;70;65;90
72;72;63;60;59;66;52;51;65;65;65;66;65;67;76;70;81;75;77;75;88;87;64;86;56;77;65;91;52;74;50;52;50;49;50;49;53;52;52;52;52;40;42;42;46;47;81;47;52;52;40;42;52;81;50;50;52;73;66;78;59;61;64;63;61;60;73;70;65;91
72;72;63;60;59;66;52;51;64;65;66;65;65;67;72;71;81;75;78;75;89;88;63;87;60;76;65;91;52;73;49;52;51;49;49;49;53;52;52;52;52;40;42;43;46;46;82;47;52;52;40;42;52;81;49;50;52;73;65;77;59;61;64;64;61;61;75;69;65;92
72;72;63;60;59;66;52;51;68;65;66;65;65;67;73;71;89;75;79;75;89;88;64;87;62;76;63;90;52;73;49;51;50;49;49;49;53;51;52;52;52;40;42;46;46;47;83;47;52;52;40;42;52;79;49;50;52;73;65;77;59;61;64;63;60;61;75;69;65;93
72;72;63;60;59;66;52;50;65;66;65;65;65;67;72;72;89;75;79;75;90;89;63;88;64;76;61;90;53;72;50;51;50;49;49;49;53;51;52;52;52;40;43;51;49;47;84;47;52;52;40;43;52;79;49;49;51;73;65;77;59;61;63;64;61;61;75;69;64;94
72;72;63;60;59;67;52;51;65;66;66;66;65;67;72;71;89;75;79;75;91;90;63;89;66;76;60;89;51;71;50;50;50;49;49;49;53;51;52;52;53;40;42;56;52;46;84;47;52;53;40;42;52;79;49;49;51;72;65;76;59;61;64;63;60;62;77;69;64;95
72;72;63;60;59;66;52;51;65;66;66;66;65;68;82;71;90;75;80;75;92;91;63;90;68;77;60;88;50;71;49;50;50;49;49;48;53;51;51;52;54;40;42;59;55;46;86;47;52;54;40;42;52;78;49;49;51;72;65;76;58;60;63;63;60;62;77;68;64;96
72;72;63;60;60;67;52;56;65;65;66;65;65;68;70;71;90;75;80;75;92;91;63;90;69;75;60;87;50;71;49;50;50;49;49;48;52;51;51;51;56;40;42;62;57;46;86;47;51;56;40;42;51;78;49;49;52;71;64;76;58;60;64;63;60;62;77;68;64;97
72;71;63;60;59;67;51;62;65;65;66;65;65;67;72;71;91;75;82;75;93;92;63;91;71;76;56;86;50;70;49;51;49;49;49;48;52;51;51;51;57;40;42;65;59;46;87;46;51;57;40;42;51;78;49;49;56;71;64;75;58;60;63;63;60;63;79;68;64;98
72;72;63;60;59;66;51;67;65;66;66;65;65;67;73;71;90;75;81;74;94;93;62;91;71;76;55;85;50;70;49;51;49;49;49;48;52;51;51;51;58;40;42;68;61;46;88;47;51;58;40;42;51;77;49;49;60;71;64;75;58;60;63;63;60;63;81;68;63;98
72;72;63;60;59;66;51;71;65;65;66;66;65;67;74;71;91;75;82;74;94;93;62;91;73;76;55;84;49;69;48;51;49;48;48;48;52;51;51;51;59;40;42;70;63;46;88;46;51;59;40;42;53;77;49;49;62;71;64;75;58;60;63;62;60;63;81;68;64;99
72;71;62;60;59;66;51;74;66;66;66;66;65;67;73;71;91;74;82;75;95;94;62;92;73;76;54;83;49;68;48;51;49;48;49;48;52;50;51;53;60;40;42;72;65;46;89;46;53;60;40;42;55;77;49;49;64;70;64;74;58;60;63;62;59;63;81;67;63;100
72;72;62;60;59;66;51;77;65;65;65;66;65;67;74;71;92;74;82;75;95;94;62;92;74;76;53;81;49;68;48;51;49;48;48;48;52;51;51;55;61;40;42;75;66;46;90;46;55;61;40;42;55;76;49;49;66;70;63;74;57;60;63;62;59;63;85;67;63;100
72;72;63;60;60;66;51;79;66;65;66;65;65;67;74;70;92;75;83;76;96;95;62;92;74;75;53;81;48;68;48;51;49;48;48;48;52;51;51;56;63;40;42;77;68;46;91;46;56;63;40;42;56;76;49;49;68;70;64;74;57;60;62;62;59;63;85;67;63;101
72;72;63;60;59;66;51;81;66;66;66;66;65;67;73;71;92;73;83;75;96;95;62;93;76;76;52;80;48;67;48;51;48;48;48;48;52;56;51;58;63;40;43;79;69;46;91;46;58;63;40;43;56;76;48;49;69;70;63;73;57;59;62;62;59;63;87;67;63;102
72;72;63;60;59;66;51;83;67;65;66;66;65;67;73;71;93;72;84;76;97;96;61;94;76;76;52;79;47;67;47;51;49;48;48;48;51;62;50;59;64;40;43;80;70;46;92;46;59;64;40;43;58;75;49;49;71;69;63;73;57;59;62;62;59;62;87;67;63;102
72;72;63;60;59;66;50;86;66;65;65;66;65;67;73;71;93;70;84;76;97;96;61;94;77;76;52;78;46;66;47;56;48;48;48;48;51;67;51;60;65;40;43;81;71;45;92;46;60;65;40;43;58;75;48;49;71;69;63;73;57;61;62;61;59;62;87;66;62;103
72;72;63;60;59;66;50;87;66;66;66;66;65;67;74;72;93;68;85;75;98;97;61;94;77;76;52;77;47;66;48;56;48;48;49;48;51;71;51;61;66;40;42;83;72;45;93;46;61;66;40;42;59;75;49;49;73;69;63;73;57;63;62;61;58;61;89;66;62;104
72;72;63;60;59;66;50;88;66;65;66;65;66;67;74;72;93;68;85;76;99;98;61;95;77;76;53;76;45;66;48;63;48;48;54;48;51;74;50;61;66;40;42;84;73;45;93;46;61;66;40;42;59;74;48;48;73;69;63;75;57;65;62;61;58;61;89;66;62;104
72;72;63;60;60;66;50;90;66;65;66;66;65;66;73;72;92;69;85;77;99;98;61;95;78;76;51;75;45;65;48;68;48;48;57;47;51;77;50;62;67;40;43;85;74;45;94;45;62;67;40;43;60;74;49;49;74;68;62;76;57;67;61;61;58;60;89;66;62;105
72;72;62;60;60;66;50;91;66;65;66;66;65;67;71;71;92;65;86;76;100;99;61;96;78;76;50;75;45;65;48;68;48;47;60;48;51;79;50;63;68;42;44;86;76;45;94;45;63;68;42;44;60;74;50;48;74;68;62;77;58;68;61;61;58;60;89;66;62;105
72;72;63;60;60;66;50;93;66;65;65;66;65;67;70;71;91;63;87;77;100;99;64;96;78;77;50;75;45;64;48;71;48;48;63;47;51;81;50;63;68;43;45;89;76;48;94;46;63;68;43;45;61;73;51;48;76;68;62;78;63;69;61;61;58;59;87;65;62;104
72;72;63;60;60;67;50;94;66;66;65;66;65;66;69;72;91;61;87;77;100;99;67;97;79;76;50;74;44;64;47;74;47;48;65;48;51;83;50;64;69;43;46;90;77;56;95;46;64;69;43;46;61;73;52;48;76;68;62;79;67;70;61;64;58;58;87;65;62;104
72;72;62;60;60;66;50;95;66;66;66;66;65;67;66;72;90;60;87;78;101;100;70;97;79;77;50;73;44;64;47;77;47;47;67;47;50;86;50;65;70;44;47;91;78;61;95;46;65;70;44;47;62;73;52;48;77;68;62;79;70;70;61;67;58;58;87;65;61;104
72;73;63;60;60;66;50;96;67;65;66;66;65;67;66;72;90;60;88;78;102;101;73;97;79;77;49;73;44;63;46;79;47;47;69;47;50;87;50;66;70;45;47;92;79;65;96;46;66;70;45;47;62;73;53;48;77;67;62;80;73;71;61;70;58;57;85;65;61;103
73;73;63;60;60;66;49;97;66;65;65;65;65;67;64;73;89;60;88;78;102;101;75;98;79;78;49;72;43;63;46;81;47;47;70;47;50;88;50;67;71;45;49;93;80;69;96;46;67;71;45;49;63;75;54;48;77;67;62;80;76;72;64;73;57;57;85;64;61;103
74;73;63;60;60;66;49;98;66;65;65;65;65;67;64;72;88;56;89;78;103;102;77;99;80;80;49;71;43;63;46;83;47;47;71;47;50;90;50;67;71;46;49;94;80;72;96;46;67;71;46;49;64;76;55;48;78;67;61;81;77;73;67;75;57;56;85;65;61;102
75;74;63;60;60;66;49;99;66;65;65;66;65;67;61;71;87;55;89;78;103;102;79;99;80;79;48;71;43;63;46;86;47;47;73;47;50;91;50;68;72;47;49;95;81;75;95;46;68;72;47;49;65;77;55;48;78;67;61;81;79;73;70;77;57;56;85;64;60;102
76;74;62;60;61;67;49;100;66;66;65;66;65;67;60;72;86;55;89;78;103;102;80;99;80;80;48;70;43;62;46;87;47;47;74;47;50;93;51;69;73;47;50;96;82;78;94;47;69;73;47;50;66;78;56;48;78;67;61;82;81;74;73;79;57;55;85;64;61;101
77;74;63;60;62;66;49;101;67;67;65;66;65;67;60;72;85;54;90;78;104;103;82;100;80;80;47;70;42;62;46;88;47;48;76;47;50;94;52;70;73;48;51;96;82;81;93;49;70;73;48;51;67;79;56;48;79;66;61;82;83;75;75;80;57;55;83;64;60;101
78;75;63;60;63;66;49;101;66;65;65;65;65;67;59;72;84;53;90;79;104;103;83;100;80;81;46;69;43;62;46;90;47;47;77;47;50;95;53;70;74;49;51;97;83;83;91;51;70;74;49;51;68;79;57;48;79;66;60;83;84;75;77;82;57;55;83;64;60;100
79;75;63;60;64;66;49;102;67;67;65;65;65;68;59;72;83;53;91;79;104;103;85;102;81;81;47;69;42;61;46;91;46;47;78;47;50;96;53;71;74;49;52;97;84;85;89;55;71;74;49;52;69;80;57;48;79;66;61;83;85;76;79;83;57;54;83;63;60;100
80;75;63;60;64;66;49;103;66;65;65;66;65;68;58;70;81;52;90;78;105;104;86;103;81;81;45;69;42;61;45;93;47;47;79;47;49;97;53;72;74;49;53;98;85;86;88;60;72;74;49;53;70;80;58;48;79;66;60;84;86;77;80;85;57;54;83;63;60;100
80;75;63;60;65;66;49;103;67;66;65;66;65;68;58;73;81;52;91;78;105;104;87;104;80;81;45;69;39;61;45;94;47;47;80;47;49;98;53;73;75;50;53;99;85;88;86;64;73;75;50;53;71;81;59;48;80;66;60;84;87;77;82;86;57;54;81;63;60;99
81;75;62;60;66;66;48;104;66;66;65;66;65;70;58;72;80;52;91;78;105;104;89;10;80;81;45;68;41;60;46;95;46;47;81;47;49;99;53;73;76;51;54;99;85;90;85;67;73;76;51;54;72;82;59;48;80;65;60;85;89;78;83;87;57;53;81;63;60;99
81;76;63;60;67;66;49;105;67;65;65;65;65;69;59;70;79;52;92;79;106;105;90;104;80;81;45;67;42;60;46;96;46;46;82;47;49;100;53;74;76;51;54;100;86;91;84;70;74;76;51;54;73;82;60;48;80;65;60;85;90;79;85;89;56;53;80;63;59;98
82;76;63;60;67;66;48;105;67;66;66;66;65;71;59;68;78;53;92;80;106;105;91;105;79;81;44;67;41;60;45;97;46;47;83;47;49;101;52;74;76;52;55;100;87;93;82;73;74;76;52;55;73;82;60;47;80;65;60;86;91;79;86;90;56;53;80;62;59;97
83;76;63;60;68;66;48;106;66;66;65;66;65;70;59;68;77;51;92;80;106;105;91;105;80;81;44;67;42;60;48;98;49;47;84;47;49;101;53;75;77;52;55;101;87;94;81;75;75;77;52;55;74;83;60;47;80;65;60;86;92;80;87;91;56;52;79;63;59;97
83;76;63;60;69;66;48;106;67;65;65;66;65;71;60;69;76;50;93;80;106;105;92;106;80;81;44;66;40;59;48;99;52;46;84;47;49;102;57;75;77;53;56;101;88;96;80;77;75;77;53;56;74;83;60;47;81;64;59;86;93;81;89;91;56;52;78;62;59;97
84;76;63;60;69;67;48;107;67;66;65;66;65;72;58;65;75;50;93;80;107;106;93;106;80;81;43;66;39;59;48;100;55;46;86;47;49;103;60;76;78;53;56;101;88;97;79;80;76;78;53;56;74;84;60;47;81;65;59;87;94;81;90;92;56;52;78;62;59;96
84;76;62;60;70;66;48;107;67;65;65;65;65;71;61;63;75;50;93;80;107;106;94;106;81;82;43;66;41;59;53;101;57;46;86;47;49;103;62;76;78;54;57;102;89;98;78;82;76;78;54;57;75;84;60;47;80;64;59;87;95;82;91;93;56;52;78;63;59;96
85;77;62;60;71;66;48;108;67;65;65;66;65;72;61;61;75;50;93;81;106;106;95;107;81;81;43;65;40;61;53;102;59;46;87;46;48;104;64;76;78;54;57;102;89;99;77;84;76;78;54;57;75;84;59;47;80;64;59;88;96;83;91;94;56;51;75;64;58;95
86;77;62;60;71;66;48;109;67;65;65;65;65;72;61;60;74;49;92;81;105;104;96;107;81;81;43;65;42;63;53;103;61;46;88;47;49;105;65;76;79;55;57;103;89;100;76;85;76;79;55;57;76;85;59;46;80;64;59;88;97;83;92;95;55;51;75;65;58;95
86;77;62;60;72;66;48;109;68;65;65;66;65;74;62;60;73;49;92;81;104;103;97;107;81;81;42;65;40;65;56;103;63;46;88;46;48;105;67;76;79;55;58;103;88;101;76;87;76;79;55;58;76;85;59;47;79;64;59;88;98;84;93;96;56;51;75;66;58;94
87;77;62;60;72;66;48;109;67;66;65;66;65;73;62;60;73;49;91;81;102;101;97;105;82;81;43;65;40;66;56;104;65;46;89;46;48;106;68;76;79;56;58;103;88;102;75;88;76;79;56;58;76;85;59;47;80;63;58;89;98;84;94;97;55;51;75;66;58;93
88;78;62;61;73;66;48;110;67;66;65;65;65;74;62;56;72;48;91;81;101;100;98;104;82;82;42;65;40;68;58;105;66;46;90;46;48;106;69;77;79;56;59;104;88;103;74;90;77;79;56;59;76;86;60;47;80;63;58;89;99;85;95;97;55;51;74;67;58;93
88;78;62;60;74;66;47;110;67;66;65;65;65;73;62;55;71;48;90;81;99;98;99;102;82;82;42;65;40;69;58;105;68;46;91;46;48;107;70;77;80;57;59;104;87;104;74;91;77;80;57;59;77;86;60;47;80;63;58;89;100;86;96;98;55;50;74;67;58;92
89;79;63;60;74;66;48;110;67;64;65;65;65;74;64;55;71;47;90;82;97;96;99;101;83;82;39;65;39;70;62;106;69;46;91;46;48;107;72;76;80;57;59;104;87;105;73;93;76;80;57;59;77;86;60;47;81;63;58;90;100;87;97;99;55;50;74;68;58;91
