Ornek1;Ornek2;Ornek3;Ornek4;Ornek5;Ornek6;Ornek7;Ornek8;Ornek9;Ornek10;Ornek11;Ornek12;Ornek13;Ornek14;Ornek15;Ornek16;Ornek17;Ornek18;Ornek19;Ornek20;Ornek21;Ornek22;Ornek23;Ornek24;Ornek25;Ornek26;Ornek27;Ornek28;Ornek29;Ornek30;Ornek31;Ornek32;Ornek33;Ornek34;Ornek35;Ornek36;Ornek37;Ornek38;Ornek39;Ornek40;Ornek41;Ornek42;Ornek43;Ornek44;Ornek45;Ornek46;Ornek47;Ornek48;Ornek49;Ornek50;Ornek51;Ornek52;Ornek53;Ornek54;Ornek55;Ornek56;Ornek57;Ornek58;Ornek59;Ornek60
0.04;0.16666666666666666;0.5;0.045454545454545456;0.029411764705882353;1.0;0.2857142857142857;0.06557377049180328;0.125;0.07692307692307693;1.0;0.0;0.5;0.0;0.775;0.9117647058823529;0.875;1.0;0.0;0.8333333333333334;0.0;0.0;0.15217391304347827;0.38144329896907214;0.06666666666666667;0.6666666666666666;1.0;0.48148148148148145;1.0;0.6666666666666666;0.2222222222222222;0.06557377049180328;0.23255813953488372;0.12121212121212122;0.10416666666666667;0.10606060606060606;0.24489795918367346;0.04918032786885246;0.16216216216216217;0.11538461538461539;0.13793103448275862;0.043478260869565216;0.09523809523809523;0.0;0.09302325581395349;0.06060606060606061;0.020833333333333332;0.043478260869565216;0.11538461538461539;0.13793103448275862;0.043478260869565216;0.09523809523809523;0.15384615384615385;0.7407407407407407;0.26666666666666666;0.2;0.06666666666666667;0.8695652173913043;1.0;0.7037037037037037
0.04;0.16666666666666666;0.5;0.0;0.0;1.0;0.2857142857142857;0.06557377049180328;0.125;0.15384615384615385;1.0;1.0;0.5;0.0625;0.775;0.9411764705882353;0.875;1.0;0.0;0.8333333333333334;0.05084745762711865;0.05084745762711865;0.15217391304347827;0.4329896907216495;0.06666666666666667;0.6111111111111112;0.9629629629629629;0.48148148148148145;1.0;0.6666666666666666;0.2222222222222222;0.06557377049180328;0.23255813953488372;0.12121212121212122;0.10416666666666667;0.10606060606060606;0.22448979591836735;0.04918032786885246;0.16216216216216217;0.11538461538461539;0.13793103448275862;0.043478260869565216;0.09523809523809523;0.0;0.09302325581395349;0.06060606060606061;0.020833333333333332;0.043478260869565216;0.11538461538461539;0.13793103448275862;0.043478260869565216;0.09523809523809523;0.15384615384615385;0.7407407407407407;0.26666666666666666;0.2;0.06666666666666667;0.8695652173913043;1.0;0.7037037037037037
0.04;0.08333333333333333;0.5;0.0;0.029411764705882353;1.0;0.2857142857142857;0.06557377049180328;0.125;0.07692307692307693;1.0;0.0;0.5;0.0;0.825;0.9411764705882353;0.8541666666666666;1.0;0.0;0.7777777777777778;0.1016949152542373;0.1016949152542373;0.13043478260869565;0.4639175257731959;0.06666666666666667;0.6111111111111112;0.9629629629629629;0.48148148148148145;1.0;0.6333333333333333;0.2;0.06557377049180328;0.20930232558139536;0.12121212121212122;0.10416666666666667;0.09090909090909091;0.22448979591836735;0.04918032786885246;0.16216216216216217;0.11538461538461539;0.13793103448275862;0.043478260869565216;0.09523809523809523;0.0;0.06976744186046512;0.06060606060606061;0.020833333333333332;0.043478260869565216;0.11538461538461539;0.13793103448275862;0.043478260869565216;0.09523809523809523;0.15384615384615385;0.7037037037037037;0.26666666666666666;0.16666666666666666;0.08888888888888889;0.8695652173913043;1.0;0.6666666666666666
0.04;0.08333333333333333;0.5;0.0;0.0;1.0;0.2857142857142857;0.06557377049180328;0.125;0.07692307692307693;1.0;1.0;0.5;0.0625;0.8;0.9117647058823529;0.8541666666666666;1.0;0.0;0.7777777777777778;0.13559322033898305;0.13559322033898305;0.13043478260869565;0.4845360824742268;0.044444444444444446;0.6111111111111112;1.0;0.48148148148148145;1.0;0.6333333333333333;0.2;0.06557377049180328;0.20930232558139536;0.12121212121212122;0.10416666666666667;0.10606060606060606;0.22448979591836735;0.04918032786885246;0.13513513513513514;0.11538461538461539;0.13793103448275862;0.043478260869565216;0.09523809523809523;0.0;0.06976744186046512;0.06060606060606061;0.020833333333333332;0.043478260869565216;0.11538461538461539;0.13793103448275862;0.043478260869565216;0.09523809523809523;0.15384615384615385;0.6666666666666666;0.26666666666666666;0.16666666666666666;0.06666666666666667;0.8260869565217391;0.9523809523809523;0.6296296296296297
0.04;0.0;1.0;0.0;0.0;1.0;0.2857142857142857;0.06557377049180328;0.125;0.07692307692307693;1.0;0.0;0.5;0.0625;0.775;0.9411764705882353;0.8541666666666666;1.0;0.0;0.7777777777777778;0.1694915254237288;0.1694915254237288;0.13043478260869565;0.5051546391752577;0.044444444444444446;0.6111111111111112;0.9629629629629629;0.48148148148148145;1.0;0.6;0.2;0.04918032786885246;0.20930232558139536;0.12121212121212122;0.10416666666666667;0.10606060606060606;0.22448979591836735;0.06557377049180328;0.13513513513513514;0.11538461538461539;0.13793103448275862;0.043478260869565216;0.09523809523809523;0.0;0.06976744186046512;0.045454545454545456;0.0;0.043478260869565216;0.11538461538461539;0.13793103448275862;0.043478260869565216;0.09523809523809523;0.15384615384615385;0.6666666666666666;0.26666666666666666;0.2;0.06666666666666667;0.8260869565217391;0.9523809523809523;0.6296296296296297
0.04;0.0;0.5;0.0;0.0;0.5;0.2857142857142857;0.06557377049180328;0.125;0.15384615384615385;1.0;0.0;0.5;0.0625;0.8;0.9411764705882353;0.8333333333333334;1.0;0.03225806451612903;0.7777777777777778;0.2033898305084746;0.2033898305084746;0.13043478260869565;0.5257731958762887;0.044444444444444446;0.6666666666666666;0.9629629629629629;0.48148148148148145;1.0;0.5666666666666667;0.2;0.04918032786885246;0.20930232558139536;0.10606060606060606;0.10416666666666667;0.09090909090909091;0.22448979591836735;0.06557377049180328;0.13513513513513514;0.11538461538461539;0.13793103448275862;0.043478260869565216;0.09523809523809523;0.015873015873015872;0.06976744186046512;0.045454545454545456;0.020833333333333332;0.043478260869565216;0.11538461538461539;0.13793103448275862;0.043478260869565216;0.09523809523809523;0.15384615384615385;0.6296296296296297;0.2;0.16666666666666666;0.06666666666666667;0.8260869565217391;0.9523809523809523;0.5925925925925926
0.04;0.08333333333333333;0.5;0.0;0.029411764705882353;1.0;0.2571428571428571;0.04918032786885246;0.1875;0.07692307692307693;1.0;1.0;0.5;0.0625;0.8;0.9411764705882353;0.8333333333333334;1.0;0.06451612903225806;0.7777777777777778;0.23728813559322035;0.23728813559322035;0.10869565217391304;0.5463917525773195;0.044444444444444446;0.6111111111111112;1.0;0.48148148148148145;1.0;0.5666666666666667;0.2;0.04918032786885246;0.20930232558139536;0.10606060606060606;0.10416666666666667;0.09090909090909091;0.20408163265306123;0.06557377049180328;0.13513513513513514;0.11538461538461539;0.10344827586206896;0.043478260869565216;0.09523809523809523;0.0;0.06976744186046512;0.045454545454545456;0.0;0.043478260869565216;0.11538461538461539;0.10344827586206896;0.043478260869565216;0.09523809523809523;0.15384615384615385;0.6296296296296297;0.26666666666666666;0.16666666666666666;0.06666666666666667;0.8260869565217391;0.9047619047619048;0.5925925925925926
0.04;0.08333333333333333;0.5;0.0;0.0;1.0;0.2571428571428571;0.04918032786885246;0.125;0.15384615384615385;1.0;1.0;0.5;0.125;0.725;0.9411764705882353;0.8333333333333334;0.975;0.06451612903225806;0.7222222222222222;0.2711864406779661;0.2711864406779661;0.10869565217391304;0.5670103092783505;0.044444444444444446;0.6111111111111112;1.0;0.48148148148148145;1.0;0.5666666666666667;0.17777777777777778;0.04918032786885246;0.18604651162790697;0.10606060606060606;0.08333333333333333;0.09090909090909091;0.20408163265306123;0.06557377049180328;0.13513513513513514;0.11538461538461539;0.10344827586206896;0.043478260869565216;0.047619047619047616;0.0;0.06976744186046512;0.045454545454545456;0.0;0.043478260869565216;0.11538461538461539;0.10344827586206896;0.043478260869565216;0.047619047619047616;0.11538461538461539;0.5925925925925926;0.2;0.16666666666666666;0.06666666666666667;0.782608695652174;0.9047619047619048;0.5555555555555556
0.04;0.08333333333333333;0.5;0.0;0.0;1.0;0.2571428571428571;0.04918032786885246;0.125;0.15384615384615385;1.0;0.0;0.5;0.0625;0.825;0.9117647058823529;0.8333333333333334;0.975;0.0967741935483871;0.7222222222222222;0.288135593220339;0.288135593220339;0.10869565217391304;0.5773195876288659;0.044444444444444446;0.6111111111111112;1.0;0.48148148148148145;1.0;0.5666666666666667;0.17777777777777778;0.04918032786885246;0.18604651162790697;0.10606060606060606;0.08333333333333333;0.09090909090909091;0.20408163265306123;0.06557377049180328;0.10810810810810811;0.11538461538461539;0.10344827586206896;0.043478260869565216;0.09523809523809523;0.0;0.046511627906976744;0.045454545454545456;0.0;0.043478260869565216;0.11538461538461539;0.10344827586206896;0.043478260869565216;0.09523809523809523;0.11538461538461539;0.5925925925925926;0.2;0.16666666666666666;0.06666666666666667;0.782608695652174;0.9047619047619048;0.5555555555555556
0.04;0.0;0.5;0.0;0.0;1.0;0.2571428571428571;0.04918032786885246;0.125;0.15384615384615385;1.0;0.0;0.5;0.0625;0.8;0.9411764705882353;0.8333333333333334;0.95;0.12903225806451613;0.7222222222222222;0.3220338983050847;0.3220338983050847;0.10869565217391304;0.5979381443298969;0.044444444444444446;0.6111111111111112;0.9629629629629629;0.48148148148148145;1.0;0.5333333333333333;0.17777777777777778;0.04918032786885246;0.18604651162790697;0.10606060606060606;0.08333333333333333;0.09090909090909091;0.20408163265306123;0.06557377049180328;0.10810810810810811;0.07692307692307693;0.10344827586206896;0.043478260869565216;0.047619047619047616;0.015873015873015872;0.06976744186046512;0.045454545454545456;0.0;0.043478260869565216;0.07692307692307693;0.10344827586206896;0.043478260869565216;0.047619047619047616;0.11538461538461539;0.5925925925925926;0.2;0.16666666666666666;0.06666666666666667;0.7391304347826086;0.8571428571428571;0.5185185185185185
